taskCreator,contributionID,contribution,description,payeeID,ADA,GMBL,AGIX
catalyst circle spo,1,Swarm bounties,description43 Swarm bounties - CC Logo - intro and outro video - editing video,m45kgs,850,0,0
catalyst circle spo,2,CC Bounties,Funds to pay for CC bounties,npksat,14788.72,0,0
