taskCreator,contributionID,contribution,description,payeeID,ADA,GMBL,AGIX,DJED,COPI,NTX
catalyst swarm,1,Operations,Payments for Organising Lisbon Meetup February & March - Felix,u7ywg4,500,0,2,0,0,0
catalyst swarm,2,Operations,Payments for Organising Lisbon Meetup February & March - Judith,q5xpal,2000,0,2,0,0,0
catalyst swarm,3,Operations,Research & determine Meetup #2 location,q5xpal,400,0,2,0,0,0
catalyst swarm,4,Community Communication,Host Cardano Lisbon Meetup #2 ,q5xpal,300,0,5,0,0,0
catalyst swarm,4,Community Communication,Host Cardano Lisbon Meetup #2 ,u7ywg4,300,0,5,0,0,0
catalyst swarm,5,Community Communication,General Cardano Lisbon Meetup,q5xpal,0,1200,2,0,0,0
catalyst swarm,6,Operations,Collect receiving addr1 for Meetup attendees #2,q5xpal,0,200,2,0,0,0
